#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Jun 23 12:50:57 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -10
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A2,,,VTRXA_113,,,,,,,,,,,,
A3,MGT_wrapper/RX1N_IN<1>_x_x,IPAD,RXNPADA_113,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A4,MGT_wrapper/RX1P_IN<1>_x_x,IPAD,RXPPADA_113,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A5,,,GNDA_113,,,,,,,,,,,,
A6,,,VCCO_6,,,6,,,,,2.50,,,,
A7,fpga_0_TriMode_MAC_GMII_GMII_RX_DV_0_pin,IOB,IO_L2N_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
A8,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<0>,IOB,IO_L2P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
A9,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<0>,IOB,IO_L17N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
A10,fpga_0_LEDs_4Bit_GPIO_IO_pin<0>,IOB,IO_L23N_VRP_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
A11,,,GND,,,,,,,,,,,,
A12,,LOWCAPIOB,IO_L8P_GC_LC_3,UNUSED,,3,,,,,,,,,
A13,fpga_0_IIC_EEPROM_Scl_pin,IOB,IO_L7N_GC_LC_3,BIDIR,LVCMOS25*,3,6,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
A14,fpga_0_IIC_EEPROM_Sda_pin,IOB,IO_L7P_GC_LC_3,BIDIR,LVCMOS25*,3,6,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
A15,fpga_0_DDR_SDRAM_DDR_Addr_pin<7>,IOB,IO_L32P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
A16,,,VCCO_5,,,5,,,,,2.50,,,,
A17,fpga_0_DDR_SDRAM_DDR_RAS_n_pin,IOB,IO_L24P_CC_LC_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
A18,,,GNDA_102,,,,,,,,,,,,
A19,MGT_wrapper/RX1P_IN<1>,IPAD,RXPPADA_102,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A20,MGT_wrapper/RX1N_IN<1>,IPAD,RXNPADA_102,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A21,,,VTRXA_102,,,,,,,,,,,,
A22,TX1P_OUT<1>,OPAD,TXPPADA_102,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
